species,sex,n
abyssinicus,female,3
abyssinicus,male,3
albicollis,female,3
albicollis,male,3
albocinctus,female,3
albocinctus,male,3
amaurochalinus,female,3
amaurochalinus,male,3
anthracinus,female,3
anthracinus,male,3
assimilis,female,3
assimilis,male,3
atrogularis,female,3
atrogularis,male,3
aurantius,female,3
aurantius,male,3
boulboul,female,3
boulboul,male,3
cardis,female,3
cardis,male,3
celaenops,female,3
celaenops,male,3
chiguanco,female,3
chiguanco,male,3
chrysolaus,female,3
chrysolaus,male,3
confinis,female,3
confinis,male,3
daguae,female,2
daguae,male,3
dissimilis,female,3
dissimilis,male,3
falcklandii,female,3
falcklandii,male,3
feae,female,1
feae,male,2
flavipes,female,3
flavipes,male,3
fulviventris,female,3
fulviventris,male,3
fumigatus,female,3
fumigatus,male,3
fuscater,female,3
fuscater,male,3
gouldi,female,3
gouldi,male,3
grayi,female,3
grayi,male,3
hauxwelli,female,3
hauxwelli,male,3
helleri,female,3
helleri,male,3
hortulorum,female,3
hortulorum,male,3
ignobilis,female,3
ignobilis,male,3
iliacus,female,3
iliacus,male,3
infuscatus,female,2
infuscatus,male,3
jamaicensis,female,3
jamaicensis,male,3
kessleri,female,3
kessleri,male,3
lawrencii,female,2
lawrencii,male,2
layardi,female,3
layardi,male,3
leucomelas,female,3
leucomelas,male,3
leucops,female,3
leucops,male,3
lherminieri,female,3
lherminieri,male,3
libonyanus,female,3
libonyanus,male,3
litsitsirupa,female,3
litsitsirupa,male,3
ludoviciae,female,3
ludoviciae,male,3
maculirostris,female,3
maculirostris,male,3
mandarinus,female,3
mandarinus,male,3
maranonicus,female,3
maranonicus,male,3
menachensis,male,3
merula,female,3
merula,male,3
migratorius,female,3
migratorius,male,3
mupinensis,female,3
mupinensis,male,3
naumanni,female,3
naumanni,male,3
nigrescens,female,3
nigrescens,male,3
nigriceps,female,3
nigriceps,male,3
niveiceps,female,3
niveiceps,male,3
nudigenis,female,3
nudigenis,male,3
obscurus,female,3
obscurus,male,3
obsoletus,female,3
obsoletus,male,3
olivaceofuscus,female,3
olivaceofuscus,male,3
olivaceus,female,3
olivaceus,male,3
olivater,female,3
olivater,male,3
pallidus,female,3
pallidus,male,3
pelios,female,3
pelios,male,3
philomelos,female,3
philomelos,male,3
pilaris,female,3
pilaris,male,3
plebejus,female,3
plebejus,male,3
plumbeus,female,3
plumbeus,male,3
reevei,female,3
reevei,male,3
rubripes,female,3
rubripes,male,3
rubrocanus,female,3
rubrocanus,male,3
ruficollis,female,3
ruficollis,male,3
rufitorques,female,3
rufitorques,male,3
rufiventris,female,3
rufiventris,male,3
rufopalliatus,female,3
rufopalliatus,male,3
schistaceus,female,3
schistaceus,male,3
serranus,female,3
serranus,male,3
subalaris,female,3
subalaris,male,3
swalesi,female,1
swalesi,male,1
tephronotus,female,3
tephronotus,male,3
torquatus,female,3
torquatus,male,3
unicolor,female,3
unicolor,male,3
viscivorus,female,3
viscivorus,male,3
