species,species_in_models,migratory_behavior,breeding_months,birdlifeintl_range_size_km2,landmass
Turdus_abyssinicus,1,partial,6,2740000,mainland
Turdus_albicollis,1,no,4,15100000,mainland
Turdus_albocinctus,1,yes,4,1110000,mainland
Turdus_amaurochalinus,1,partial,4,4890000,mainland
Turdus_assimilis,1,partial,5,2070000,mainland
Turdus_atrogularis,1,yes,3,9960000,mainland
Turdus_aurantius,1,no,4,13500,island
Turdus_boulboul,1,yes,6,2410000,mainland
Turdus_cardis,1,yes,5,3250000,mainland
Turdus_celaenops,1,partial,5,256000,island
Turdus_chiguanco,1,no,8,1150000,mainland
Turdus_chiguanco_anthracinus,1,no,8,1500000,mainland
Turdus_chrysolaus,1,yes,4,1620000,island
Turdus_dissimilis,1,yes,4,1290000,mainland
Turdus_daguae,0,partial,5,,mainland
Turdus_falcklandii,1,no,6,2590000,mainland
Turdus_feae,0,yes,3,327000,mainland
Turdus_flavipes,1,partial,3,10600000,mainland
Turdus_fulviventris,1,no,6,419000,mainland
Turdus_fumigatus,1,no,11,9530000,mainland
Turdus_fuscater,1,no,8,3400000,mainland
Turdus_grayi,1,no,5,3250000,mainland
Turdus_hauxwelli,1,no,11,3370000,mainland
Turdus_helleri,1,no,7,290,mainland
Turdus_hortulorum,1,yes,4,2170000,mainland
Turdus_ignobilis,1,no,12,1340000,mainland
Turdus_iliacus,1,yes,4,18300000,mainland
Turdus_infuscatus,1,partial,3,882000,mainland
Turdus_jamaicensis,1,no,3,13500,island
Turdus_kessleri,1,yes,4,1180000,mainland
Turdus_lawrencii,1,no,5,4520000,mainland
Turdus_leucomelas,1,no,8,13800000,mainland
Turdus_leucops,1,no,7,5390000,mainland
Turdus_lherminieri,1,no,4,14800,island
Turdus_libonyana,1,no,8,6270000,mainland
Turdus_litsitsirupa,0,no,6,5230000,mainland
Turdus_ludoviciae,1,no,6,32200,mainland
Turdus_maculirostris,1,no,4,118000,mainland
Turdus_mandarinus,1,partial,5,3440000,mainland
Turdus_maranonicus,1,no,NA,41900,mainland
Turdus_menachensis,0,partial,3,150000,mainland
Turdus_merula,1,yes,6,32400000,mainland
Turdus_migratorius,1,yes,5,30600000,mainland
Turdus_migratorius_confinis,1,no,NA,2200,mainland
Turdus_mupinensis,1,no,3,2130000,mainland
Turdus_naumanni,1,yes,4,2370000,mainland
Turdus_nigrescens,1,partial,3,8100,mainland
Turdus_nigriceps,1,partial,4,1950000,mainland
Turdus_niveiceps,1,no,4,14800,island
Turdus_nudigenis,1,no,6,4300000,mainland
Turdus_obscurus,1,yes,3,6690000,mainland
Turdus_obsoletus,1,partial,2,1080000,mainland
Turdus_olivaceofuscus,1,no,6,930,island
Turdus_olivaceus,1,partial,11,1820000,mainland
Turdus_olivater,1,no,7,1530000,mainland
Turdus_pallidus,1,yes,4,1710000,mainland
Turdus_pelios,1,partial,7,14800000,mainland
Turdus_philomelos,1,yes,6,23300000,mainland
Turdus_pilaris,1,yes,5,24100000,mainland
Turdus_plebejus,1,partial,4,478000,mainland
Turdus_plumbeus_plumbeus,1,no,9,70200,island
Turdus_plumbeus_rubripes,1,no,9,256000,island
Turdus_plumbeus_schistaceus,1,no,9,NA,island
Turdus_reevei,1,partial,4,106000,mainland
Turdus_rubrocanus,1,partial,4,3480000,mainland
Turdus_rubrocanus_gouldi,1,partial,4,3480000,mainland
Turdus_ruficollis,1,yes,3,2510000,mainland
Turdus_rufitorques,1,no,4,148000,mainland
Turdus_rufiventris,1,no,4,7280000,mainland
Turdus_rufopalliatus,0,no,3,713000,mainland
Turdus_serranus,1,partial,9,4990000,mainland
Turdus_subalaris,0,yes,4,570000,mainland
Turdus_swalesi,1,no,3,17300,island
Turdus_tephronotus,1,no,6,1420000,mainland
Turdus_torquatus,1,yes,4,13400000,mainland
Turdus_unicolor,1,partial,5,617000,mainland
Turdus_viscivorus,1,partial,5,30900000,mainland
