sympatry,sex1,jnd_threshold,grand_median,grand_mad,total_n,grand_min,metric
0,female,> 1 JND,4,0,71,0,Achromatic
0,male,> 1 JND,4.75,0.37065,72,0,Achromatic
10,female,> 1 JND,4,1.4826,51,1,Achromatic
10,male,> 1 JND,4.5,0.7413,51,1,Achromatic
20,female,> 1 JND,4,1.4826,44,1,Achromatic
20,male,> 1 JND,4,1.4826,44,1,Achromatic
30,female,> 1 JND,4,1.4826,39,1,Achromatic
30,male,> 1 JND,4,1.4826,39,1,Achromatic
40,female,> 1 JND,4,1.4826,36,1,Achromatic
40,male,> 1 JND,4,1.4826,36,1,Achromatic
50,female,> 1 JND,3.75,1.11195,30,1,Achromatic
50,male,> 1 JND,4,1.4826,30,2,Achromatic
60,female,> 1 JND,3.5,0.7413,21,1,Achromatic
60,male,> 1 JND,4,1.4826,21,2,Achromatic
70,female,> 1 JND,3,1.4826,15,1,Achromatic
70,male,> 1 JND,4,1.4826,15,2,Achromatic
80,female,> 1 JND,3,0.7413,8,1,Achromatic
80,male,> 1 JND,3.5,1.4826,8,2,Achromatic
90,female,> 1 JND,4,1.4826,5,2,Achromatic
90,male,> 1 JND,4,1.4826,5,2,Achromatic
0,female,> 2 JND,3,0.7413,71,0,Achromatic
0,male,> 2 JND,3,1.11195,72,0,Achromatic
10,female,> 2 JND,2,1.4826,51,0,Achromatic
10,male,> 2 JND,3,1.4826,51,0,Achromatic
20,female,> 2 JND,2,1.4826,44,0,Achromatic
20,male,> 2 JND,3,1.4826,44,0,Achromatic
30,female,> 2 JND,2,1.4826,39,0,Achromatic
30,male,> 2 JND,3,1.4826,39,0,Achromatic
40,female,> 2 JND,1.5,1.8532499999999998,36,0,Achromatic
40,male,> 2 JND,2,1.4826,36,0,Achromatic
50,female,> 2 JND,1.25,1.8532499999999998,30,0,Achromatic
50,male,> 2 JND,2,1.4826,30,0,Achromatic
60,female,> 2 JND,1,1.4826,21,0,Achromatic
60,male,> 2 JND,2.5,2.2239,21,0,Achromatic
70,female,> 2 JND,1,1.4826,15,0,Achromatic
70,male,> 2 JND,2,1.4826,15,0,Achromatic
80,female,> 2 JND,1,1.4826,8,0,Achromatic
80,male,> 2 JND,1.5,0.7413,8,1,Achromatic
90,female,> 2 JND,1,1.4826,5,0,Achromatic
90,male,> 2 JND,2,1.4826,5,1,Achromatic
0,female,> 3 JND,2,1.4826,71,0,Achromatic
0,male,> 3 JND,2.25,1.11195,72,0,Achromatic
10,female,> 3 JND,1,1.4826,51,0,Achromatic
10,male,> 3 JND,2.5,1.4826,51,0,Achromatic
20,female,> 3 JND,1,1.4826,44,0,Achromatic
20,male,> 3 JND,2,1.4826,44,0,Achromatic
30,female,> 3 JND,1,1.4826,39,0,Achromatic
30,male,> 3 JND,2,1.4826,39,0,Achromatic
40,female,> 3 JND,1,1.4826,36,0,Achromatic
40,male,> 3 JND,2,1.4826,36,0,Achromatic
50,female,> 3 JND,1,1.4826,30,0,Achromatic
50,male,> 3 JND,2,1.4826,30,0,Achromatic
60,female,> 3 JND,1,1.4826,21,0,Achromatic
60,male,> 3 JND,2,1.4826,21,0,Achromatic
70,female,> 3 JND,1,1.4826,15,0,Achromatic
70,male,> 3 JND,1,1.4826,15,0,Achromatic
80,female,> 3 JND,1,1.4826,8,0,Achromatic
80,male,> 3 JND,1,1.4826,8,0,Achromatic
90,female,> 3 JND,1,1.4826,5,0,Achromatic
90,male,> 3 JND,2,1.4826,5,1,Achromatic
0,female,> 1 JND,4,0,71,0,Chromatic
0,male,> 1 JND,5,0,72,0,Chromatic
10,female,> 1 JND,4,1.4826,51,1,Chromatic
10,male,> 1 JND,4.5,0.7413,51,0,Chromatic
20,female,> 1 JND,4,1.4826,44,1,Chromatic
20,male,> 1 JND,4,1.4826,44,0,Chromatic
30,female,> 1 JND,4,1.4826,39,1,Chromatic
30,male,> 1 JND,4.5,0.7413,39,0,Chromatic
40,female,> 1 JND,4,1.4826,36,1,Chromatic
40,male,> 1 JND,4.25,1.11195,36,0,Chromatic
50,female,> 1 JND,4,1.4826,30,1,Chromatic
50,male,> 1 JND,5,0,30,1,Chromatic
60,female,> 1 JND,4,1.4826,21,1,Chromatic
60,male,> 1 JND,4,1.4826,21,2,Chromatic
70,female,> 1 JND,4,1.4826,15,1,Chromatic
70,male,> 1 JND,4,1.4826,15,2,Chromatic
80,female,> 1 JND,3.5,0.7413,8,1,Chromatic
80,male,> 1 JND,4,0.7413,8,2,Chromatic
90,female,> 1 JND,4,1.4826,5,1,Chromatic
90,male,> 1 JND,4,0,5,3,Chromatic
0,female,> 2 JND,2,0.7413,71,0,Chromatic
0,male,> 2 JND,3,0.7413,72,0,Chromatic
10,female,> 2 JND,2,1.4826,51,0,Chromatic
10,male,> 2 JND,3,1.4826,51,0,Chromatic
20,female,> 2 JND,1.75,1.11195,44,0,Chromatic
20,male,> 2 JND,2.75,1.11195,44,0,Chromatic
30,female,> 2 JND,1,1.4826,39,0,Chromatic
30,male,> 2 JND,3,1.4826,39,0,Chromatic
40,female,> 2 JND,1,1.4826,36,0,Chromatic
40,male,> 2 JND,2,1.4826,36,0,Chromatic
50,female,> 2 JND,1.5,1.11195,30,0,Chromatic
50,male,> 2 JND,2.5,1.11195,30,0,Chromatic
60,female,> 2 JND,1.5,0.7413,21,0,Chromatic
60,male,> 2 JND,3,2.2239,21,0,Chromatic
70,female,> 2 JND,1,0.7413,15,0,Chromatic
70,male,> 2 JND,2,1.4826,15,0,Chromatic
80,female,> 2 JND,1.5,0.7413,8,0,Chromatic
80,male,> 2 JND,1.25,0.37065,8,1,Chromatic
90,female,> 2 JND,1,0,5,0,Chromatic
90,male,> 2 JND,1.5,0.7413,5,1,Chromatic
0,female,> 3 JND,1,0,71,0,Chromatic
0,male,> 3 JND,1.75,1.11195,72,0,Chromatic
10,female,> 3 JND,0,0,51,0,Chromatic
10,male,> 3 JND,1,1.4826,51,0,Chromatic
20,female,> 3 JND,0,0,44,0,Chromatic
20,male,> 3 JND,1,1.4826,44,0,Chromatic
30,female,> 3 JND,0,0,39,0,Chromatic
30,male,> 3 JND,1.5,0.7413,39,0,Chromatic
40,female,> 3 JND,0,0,36,0,Chromatic
40,male,> 3 JND,1,1.4826,36,0,Chromatic
50,female,> 3 JND,0,0,30,0,Chromatic
50,male,> 3 JND,1,1.4826,30,0,Chromatic
60,female,> 3 JND,0,0,21,0,Chromatic
60,male,> 3 JND,1,1.4826,21,0,Chromatic
70,female,> 3 JND,0,0,15,0,Chromatic
70,male,> 3 JND,1,0,15,0,Chromatic
80,female,> 3 JND,0,0,8,0,Chromatic
80,male,> 3 JND,1,0.37065,8,0,Chromatic
90,female,> 3 JND,0,0,5,0,Chromatic
90,male,> 3 JND,0.5,0.7413,5,0,Chromatic
