species_1,n_species_10,n_species_15,n_species_20,n_species_25,n_species_30,n_species_35,n_species_50,n_species_75,n_species_90,median_sym_overlap
Otocichla mupinensis,6,4,4,2,2,2,1,0,0,0.534
Psophocichla litsitsirupa,2,2,2,1,1,1,1,0,0,0.734
Turdus abyssinicus,2,2,2,1,1,1,0,0,0,0.495
Turdus albicollis,9,7,6,4,4,3,0,0,0,0.371
Turdus albocinctus,6,5,5,5,3,2,1,0,0,0.385
Turdus amaurochalinus,6,3,3,3,3,3,1,1,0,0.456
Turdus anthracinus,3,3,1,1,1,1,1,0,0,0.509
Turdus ardosiaceus,0,0,0,0,0,0,0,0,0,0
Turdus arthuri,9,7,5,5,5,5,3,1,1,0.564
Turdus assimilis,6,5,5,4,4,3,1,0,0,0.365
Turdus atrogularis,8,6,5,5,5,4,4,3,3,0.909
Turdus aurantius,1,1,1,1,1,1,1,1,1,1
Turdus bewsheri,0,0,0,0,0,0,0,0,0,0
Turdus boulboul,6,4,2,1,1,1,1,0,0,0.582
Turdus cardis,2,2,2,2,2,2,0,0,0,0.389
Turdus celaenops,0,0,0,0,0,0,0,0,0,0
Turdus chiguanco,3,2,1,1,0,0,0,0,0,0
Turdus chrysolaus,2,2,1,1,1,1,1,0,0,0.671
Turdus confinis,0,0,0,0,0,0,0,0,0,0
Turdus debilis,5,4,4,3,3,3,3,3,1,0.884
Turdus dissimilis,3,3,3,2,2,2,1,0,0,0.534
Turdus eremita,0,0,0,0,0,0,0,0,0,0
Turdus eunomus,4,3,3,2,2,2,1,0,0,0.541
Turdus falcklandii,0,0,0,0,0,0,0,0,0,0
Turdus feae,1,1,1,1,1,1,1,0,0,0.619
Turdus flavipes,9,7,7,6,5,4,3,2,0,0.666
Turdus fulviventris,11,8,8,8,6,4,4,0,0,0.535
Turdus fumigatus,4,3,3,3,2,2,2,1,0,0.761
Turdus fuscater,8,6,6,3,2,2,1,0,0,0.591
Turdus grayi,3,3,1,1,1,0,0,0,0,0.312
Turdus haplochrous,5,5,5,3,2,2,2,2,2,1
Turdus hauxwelli,6,4,3,3,3,3,2,2,1,0.768
Turdus helleri,2,2,2,2,2,2,2,2,2,1
Turdus hortulorum,4,4,3,2,2,2,1,0,0,0.492
Turdus ignobilis,11,10,9,6,5,5,0,0,0,0.384
Turdus iliacus,7,7,6,6,3,3,2,1,0,0.664
Turdus infuscatus,6,6,6,5,4,4,3,2,0,0.665
Turdus jamaicensis,1,1,1,1,1,1,1,1,1,1
Turdus kessleri,3,3,3,2,2,1,1,0,0,0.467
Turdus lawrencii,6,4,3,3,3,3,2,2,1,0.809
Turdus leucomelas,6,5,4,3,3,3,1,0,0,0.479
Turdus leucops,14,10,8,4,4,4,1,0,0,0.451
Turdus lherminieri,2,2,2,1,0,0,0,0,0,0
Turdus libonyana,2,2,1,1,1,1,1,0,0,0.541
Turdus ludoviciae,0,0,0,0,0,0,0,0,0,0
Turdus maculirostris,6,3,3,2,1,1,1,0,0,0.603
Turdus mandarinus,4,2,2,2,0,0,0,0,0,0
Turdus maranonicus,6,5,4,4,4,4,3,1,0,0.603
Turdus maximus,5,4,3,1,0,0,0,0,0,0
Turdus menachensis,0,0,0,0,0,0,0,0,0,0
Turdus merula,5,4,4,4,4,4,3,1,0,0.636
Turdus migratorius,0,0,0,0,0,0,0,0,0,0
Turdus naumanni,6,6,5,3,3,3,2,2,2,0.906
Turdus nigrescens,4,3,3,3,3,3,3,3,3,1
Turdus nigriceps,11,7,7,7,4,3,3,0,0,0.562
Turdus niveiceps,0,0,0,0,0,0,0,0,0,0
Turdus nudigenis,5,5,3,3,3,3,3,1,1,0.737
Turdus obscurus,8,7,6,6,4,3,2,1,0,0.504
Turdus obsoletus,6,6,5,4,2,1,1,0,0,0.453
Turdus olivaceofuscus,0,0,0,0,0,0,0,0,0,0
Turdus olivaceus,2,2,2,2,2,1,0,0,0,0.369
Turdus olivater,12,11,8,8,8,8,4,2,0,0.5
Turdus pallidus,1,1,1,1,1,1,1,1,0,0.792
Turdus pelios,1,0,0,0,0,0,0,0,0,0
Turdus philomelos,6,5,5,5,5,4,4,1,0,0.677
Turdus pilaris,8,7,6,5,4,3,3,0,0,0.612
Turdus plebejus,4,4,4,4,4,4,3,2,1,0.759
Turdus plumbeus,0,0,0,0,0,0,0,0,0,0
Turdus poliocephalus,0,0,0,0,0,0,0,0,0,0
Turdus reevei,4,4,3,1,1,1,1,0,0,0.674
Turdus roehli,2,1,1,1,1,1,1,1,1,1
Turdus rubripes,0,0,0,0,0,0,0,0,0,0
Turdus rubrocanus,4,3,3,3,3,3,2,0,0,0.515
Turdus ruficollis,7,6,6,6,6,6,4,1,0,0.577
Turdus rufitorques,4,4,4,4,4,4,4,3,2,0.875
Turdus rufiventris,5,3,3,3,3,2,2,0,0,0.639
Turdus rufopalliatus,3,2,2,2,2,2,1,0,0,0.483
Turdus sanchezorum,6,5,4,4,4,4,4,4,3,0.94
Turdus serranus,13,10,5,3,3,2,2,0,0,0.55
Turdus simillimus,0,0,0,0,0,0,0,0,0,0
Turdus smithi,2,2,1,0,0,0,0,0,0,0
Turdus subalaris,5,5,5,5,5,5,5,3,3,1
Turdus swalesi,1,1,1,1,1,1,1,1,1,1
Turdus tephronotus,2,1,1,1,0,0,0,0,0,0
Turdus torquatus,5,5,5,5,5,5,4,2,0,0.678
Turdus unicolor,5,5,5,5,5,5,3,1,0,0.596
Turdus viscivorus,5,5,4,4,4,4,4,1,0,0.64
Turdus xanthorhynchus,0,0,0,0,0,0,0,0,0,0
